course-full,courde-code,course-title,course-href,level,
LL4CN New Technologies in Law and the Body,LL4CN,New Technologies in Law and the Body,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CN.htm,Postgraduate ,
GV4G5 The History and Politics of the Modern Middle East,GV4G5,The History and Politics of the Modern Middle East,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4G5.htm,Postgraduate ,
EH476 The Economic History of War,EH476,The Economic History of War,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH476.htm,Postgraduate ,
"SA4H9 Non-Governmental Organisations, Social Policy and Development",SA4H9,"Non-Governmental Organisations, Social Policy and Development",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4H9.htm,Postgraduate ,
LL4A1 LLM Subject Area Specialist Research Seminars,LL4A1,LLM Subject Area Specialist Research Seminars,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4A1.htm,Postgraduate ,
LL4L6 Theory of Human Rights Law,LL4L6,Theory of Human Rights Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4L6.htm,Postgraduate ,
EU410 Interdisciplinary Research Methods and Design,EU410,Interdisciplinary Research Methods and Design,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU410.htm,Postgraduate ,
LL4Z4 Value Added Tax in the EU,LL4Z4,Value Added Tax in the EU,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4Z4.htm,Postgraduate ,
EU409 Basic Economic Concepts for European Political Economy,EU409,Basic Economic Concepts for European Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU409.htm,Postgraduate ,
MA400 September Introductory Course (Financial Mathematics),MA400,September Introductory Course (Financial Mathematics),http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA400.htm,Postgraduate ,
AN456 Anthropology of Economy (1): Production and Exchange,AN456,Anthropology of Economy (1): Production and Exchange,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN456.htm,Postgraduate ,
DV442 Key Issues in Development Studies,DV442,Key Issues in Development Studies,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV442.htm,Postgraduate ,
IR445 Chinese Foreign and Security Policy,IR445,Chinese Foreign and Security Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR445.htm,Postgraduate ,
"PS461 Health, Community and Development",PS461,"Health, Community and Development",http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS461.htm,Postgraduate ,
MC499 Dissertation: Media and Communications,MC499,Dissertation: Media and Communications,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC499.htm,Postgraduate ,
LL4AN International Business Transactions: Transnational Torts,LL4AN,International Business Transactions: Transnational Torts,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AN.htm,Postgraduate ,
MG434 Organisational Behaviour,MG434,Organisational Behaviour,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG434.htm,Postgraduate ,
LL4Z1 Business Taxation,LL4Z1,Business Taxation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4Z1.htm,Postgraduate ,
EC421E Global Market Economics,EC421, Global Market Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC421E.htm,Postgraduate ,
MC401 Mediated Resistance and Citizens,MC401,Mediated Resistance and Citizens,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC401.htm,Postgraduate ,
MG404 Behavioural Fundamentals for Marketing and Management,MG404,Behavioural Fundamentals for Marketing and Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG404.htm,Postgraduate ,
SA4M3E Research Methods for Behavioural Science,SA4M3, Research Methods for Behavioural Science,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4M3E.htm,Postgraduate ,
LL4CK Taxation of Corporate Transactions,LL4CK,Taxation of Corporate Transactions,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CK.htm,Postgraduate ,
IR451 Politics of Money in the World Economy,IR451,Politics of Money in the World Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR451.htm,Postgraduate ,
AN499 Dissertation,AN499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN499.htm,Postgraduate ,
GY458 Real Property Market Practice,GY458,Real Property Market Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY458.htm,Postgraduate ,
LL4BB International Law and the Movement of Persons Between States,LL4BB,International Law and the Movement of Persons Between States,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BB.htm,Postgraduate ,
GV4G7 Marx and Marxism,GV4G7,Marx and Marxism,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4G7.htm,Postgraduate ,
LL4L1 The Theory and Practice of Dispute Resolution,LL4L1,The Theory and Practice of Dispute Resolution,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4L1.htm,Postgraduate ,
AN900 A Programme of Ethnographic Films,AN900,A Programme of Ethnographic Films,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN900.htm,Postgraduate ,
FM437 Financial Econometrics,FM437,Financial Econometrics,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM437.htm,Postgraduate ,
MG462 Qualitative Analysis in Management,MG462,Qualitative Analysis in Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG462.htm,Postgraduate ,
PS456 Consumer Psychology,PS456,Consumer Psychology,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS456.htm,Postgraduate ,
EC486 Econometric Methods,EC486,Econometric Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC486.htm,Postgraduate ,
SA493 Demographic Change and Development,SA493,Demographic Change and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA493.htm,Postgraduate ,
MG459 Foundations of Management 2,MG459,Foundations of Management 2,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG459.htm,Postgraduate ,
"IS489 Data Governance: Privacy, Openness and Transparency",IS489,"Data Governance: Privacy, Openness and Transparency",http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS489.htm,Postgraduate ,
GY449 Urban Futures,GY449,Urban Futures,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY449.htm,Postgraduate ,
