course-full,courde-code,course-title,course-href,level,
EC4B4 MPA Dissertation,EC4B4,MPA Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC4B4.htm,Postgraduate ,
LL4CJ Comparative Corporate Taxation,LL4CJ,Comparative Corporate Taxation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CJ.htm,Postgraduate ,
SA4F2 Principles of Evidence-Based Medicine and Clinical Trials,SA4F2,Principles of Evidence-Based Medicine and Clinical Trials,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4F2.htm,Postgraduate ,
SO444 Qualitative Methods for Cultural Research,SO444,Qualitative Methods for Cultural Research,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO444.htm,Postgraduate ,
SO407 Politics and Society,SO407,Politics and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO407.htm,Postgraduate ,
EC442 Macroeconomics for MRes students,EC442,Macroeconomics for MRes students,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC442.htm,Postgraduate ,
PH499 Dissertation,PH499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH499.htm,Postgraduate ,
EC476 Contracts and Organisations,EC476,Contracts and Organisations,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC476.htm,Postgraduate ,
PS404 Organisational Social Psychology,PS404,Organisational Social Psychology,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS404.htm,Postgraduate ,
LL409E Comparative Constitutional Law:Rights,LL409, Comparative Constitutional Law:Rights,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL409E.htm,Postgraduate ,
"LL403E International Human Rights: Concepts, Law and Practice",LL403," International Human Rights: Concepts, Law and Practice",http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL403E.htm,Postgraduate ,
PH405 Philosophy of the Social Sciences,PH405,Philosophy of the Social Sciences,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH405.htm,Postgraduate ,
GV4C4 Legislative Politics: US,GV4C4,Legislative Politics: US,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4C4.htm,Postgraduate ,
GV4E1 Comparative Democratization in a Global Age,GV4E1,Comparative Democratization in a Global Age,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4E1.htm,Postgraduate ,
GI418 Feminist Economics and Policy: An Introduction,GI418,Feminist Economics and Policy: An Introduction,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI418.htm,Postgraduate ,
ID430 Organisational Behaviour,ID430,Organisational Behaviour,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID430.htm,Postgraduate ,
LL430E Investment Treaty Law,LL430, Investment Treaty Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL430E.htm,Postgraduate ,
GY454 Urban Policy and Planning,GY454,Urban Policy and Planning,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY454.htm,Postgraduate ,
EC400 Introductory Course in Mathematics and Statistics,EC400,Introductory Course in Mathematics and Statistics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC400.htm,Postgraduate ,
MC417 Democracy and the Media,MC417,Democracy and the Media,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC417.htm,Postgraduate ,
LL433E EU State Aid Law,LL433, EU State Aid Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL433E.htm,Postgraduate ,
LL4BC Policing and Police Powers,LL4BC,Policing and Police Powers,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BC.htm,Postgraduate ,
LL439E UK Corporate Law,LL439, UK Corporate Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL439E.htm,Postgraduate ,
MC424 Media and Communication Governance,MC424,Media and Communication Governance,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC424.htm,Postgraduate ,
GY410 Economics of Local and Regional Development,GY410,Economics of Local and Regional Development,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY410.htm,Postgraduate ,
IR447 Political Economy of International Labour Migration,IR447,Political Economy of International Labour Migration,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR447.htm,Postgraduate ,
SA4C4 Cost-Effectiveness Analysis in Health Care,SA4C4,Cost-Effectiveness Analysis in Health Care,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4C4.htm,Postgraduate ,
FM474 Finance II,FM474,Finance II,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM474.htm,Postgraduate ,
IR450 International Political Economy,IR450,International Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR450.htm,Postgraduate ,
"HY440 The Emergence of Modern Iran: State, Society and Diplomacy",HY440,"The Emergence of Modern Iran: State, Society and Diplomacy",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY440.htm,Postgraduate ,
FM4U7 Applied Financial Valuation - Dissertation,FM4U7,Applied Financial Valuation - Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM4U7.htm,Postgraduate ,
PH456 Rationality and Choice,PH456,Rationality and Choice,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH456.htm,Postgraduate ,
GI414 Gender and Social Policy: Theory and Practice,GI414,Gender and Social Policy: Theory and Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI414.htm,Postgraduate ,
LL4CM Law in the Economy,LL4CM,Law in the Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CM.htm,Postgraduate ,
SA4E2 Resource Allocation and Cost-effectiveness Analysis,SA4E2,Resource Allocation and Cost-effectiveness Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4E2.htm,Postgraduate ,
MG488 MiM Capstone Course - Management in Action,MG488,MiM Capstone Course - Management in Action,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG488.htm,Postgraduate ,
MG464 CEMS Global Business Principles,MG464,CEMS Global Business Principles,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG464.htm,Postgraduate ,
DV4V8 MPA Policy Paper,DV4V8,MPA Policy Paper,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV4V8.htm,Postgraduate ,
FM4U1 Fixed Income Markets - Dissertation,FM4U1,Fixed Income Markets - Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM4U1.htm,Postgraduate ,
LL4CB Modern Legal History: Private Law and the Economy 1750-1950,LL4CB,Modern Legal History: Private Law and the Economy 1750-1950,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CB.htm,Postgraduate ,
IR443 Strategy in a Changing World,IR443,Strategy in a Changing World,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR443.htm,Postgraduate ,
AN404 Anthropology: Theory and Ethnography,AN404,Anthropology: Theory and Ethnography,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN404.htm,Postgraduate ,
SA4M5E Dissertation in Behavioural Science,SA4M5, Dissertation in Behavioural Science,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4M5E.htm,Postgraduate ,
MG422 Thinking Strategically,MG422,Thinking Strategically,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG422.htm,Postgraduate ,
MG444 Getting Things Done With Research,MG444,Getting Things Done With Research,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG444.htm,Postgraduate ,
GV4H1 Chinese Political Thought,GV4H1,Chinese Political Thought,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4H1.htm,Postgraduate ,
LL4A6 Climate Change and International Law,LL4A6,Climate Change and International Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4A6.htm,Postgraduate ,
ID423 The Dark Side of the Organisation,ID423,The Dark Side of the Organisation,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID423.htm,Postgraduate ,
DV451 Money in an Unequal World,DV451,Money in an Unequal World,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV451.htm,Postgraduate ,
"DV446 Technical Change, Paradigm Shifts and Global Development",DV446,"Technical Change, Paradigm Shifts and Global Development",http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV446.htm,Postgraduate ,
MA422 Research Topics in Financial Mathematics,MA422,Research Topics in Financial Mathematics,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA422.htm,Postgraduate ,
EU427 European Public and Economic Policy,EU427,European Public and Economic Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU427.htm,Postgraduate ,
EH474 Research Prospectus,EH474,Research Prospectus,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH474.htm,Postgraduate ,
SA481 Population Analysis: Methods and Models,SA481,Population Analysis: Methods and Models,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA481.htm,Postgraduate ,
"GI417 Gender, Population, and Policy",GI417,"Gender, Population, and Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI417.htm,Postgraduate ,
ST450 Advanced Lectures on Special Topics in Statistics,ST450,Advanced Lectures on Special Topics in Statistics,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST450.htm,Postgraduate ,
IR464 The Politics of International Law,IR464,The Politics of International Law,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR464.htm,Postgraduate ,
IR466 Genocide,IR466,Genocide,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR466.htm,Postgraduate ,
FM440 Corporate Finance Theory,FM440,Corporate Finance Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM440.htm,Postgraduate ,
FM482 Research paper in Finance,FM482,Research paper in Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM482.htm,Postgraduate ,
GV479 Nationalism,GV479,Nationalism,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV479.htm,Postgraduate ,
SO438 Sociology of Employment I: Social Relations at Work,SO438,Sociology of Employment I: Social Relations at Work,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO438.htm,Postgraduate ,
"HY441 Islam, State and Rebellion in the Indonesian Archipelago",HY441,"Islam, State and Rebellion in the Indonesian Archipelago",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY441.htm,Postgraduate ,
SA466 European and Comparative Social Policy - Long Essay,SA466,European and Comparative Social Policy - Long Essay,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA466.htm,Postgraduate ,
LL4E8 Law in Society: A Joint Course in Law and Anthropology,LL4E8,Law in Society: A Joint Course in Law and Anthropology,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4E8.htm,Postgraduate ,
"GV4D5 Organisations, Power and Leadership",GV4D5,"Organisations, Power and Leadership",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4D5.htm,Postgraduate ,
GV4C7 Warfare and National Identity,GV4C7,Warfare and National Identity,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4C7.htm,Postgraduate ,
IR436 Theories of International Relations,IR436,Theories of International Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR436.htm,Postgraduate ,
MN413 International Marketing: A Strategic Approach,MN413,International Marketing: A Strategic Approach,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN413.htm,Postgraduate ,
EU446 The Political Economy of European Monetary Integration,EU446,The Political Economy of European Monetary Integration,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU446.htm,Postgraduate ,
LL4H2 Media Law: Regulating Publication,LL4H2,Media Law: Regulating Publication,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4H2.htm,Postgraduate ,
PS460 Inter-cultural Relations and Racism,PS460,Inter-cultural Relations and Racism,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS460.htm,Postgraduate ,
LL4F9 Legal Research and Writing Skills,LL4F9,Legal Research and Writing Skills,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4F9.htm,Postgraduate ,
SA408 Health Economics,SA408,Health Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA408.htm,Postgraduate ,
SA4K3 MPA Capstone Project,SA4K3,MPA Capstone Project,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K3.htm,Postgraduate ,
EH483 The Development and Integration of the World Economy in the 19th and 20th Centuries,EH483,The Development and Integration of the World Economy in the 19th and 20th Centuries,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH483.htm,Postgraduate ,
LL4AK Insolvency Law: Company Liquidation and Stakeholder Interests,LL4AK,Insolvency Law: Company Liquidation and Stakeholder Interests,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AK.htm,Postgraduate ,
GV4F5 Advanced Study of Key Political Thinkers,GV4F5,Advanced Study of Key Political Thinkers,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4F5.htm,Postgraduate ,
"MC409 Media, Technology and Everyday Life",MC409,"Media, Technology and Everyday Life",http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC409.htm,Postgraduate ,
EH409 Chinese Economy in Transition: 1850-1950,EH409,Chinese Economy in Transition: 1850-1950,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH409.htm,Postgraduate ,
SA4D1 Health and Population in Contemporary Developed Societies,SA4D1,Health and Population in Contemporary Developed Societies,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4D1.htm,Postgraduate ,
EC410 Public Economics for Public Policy,EC410,Public Economics for Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC410.htm,Postgraduate ,
PH423 Scientific Method and Policy,PH423,Scientific Method and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH423.htm,Postgraduate ,
EC426 Public Economics,EC426,Public Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC426.htm,Postgraduate ,
SA4F8 Behavioural Public Policy,SA4F8,Behavioural Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4F8.htm,Postgraduate ,
AN421 The Anthropology of Industrialisation and Industrial Life,AN421,The Anthropology of Industrialisation and Industrial Life,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN421.htm,Postgraduate ,
SO468 International Migration and Migrant Integration,SO468,International Migration and Migrant Integration,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO468.htm,Postgraduate ,
LL4K9 European Capital Markets Law,LL4K9,European Capital Markets Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4K9.htm,Postgraduate ,
LL4AD Rethinking International Law I: International Law and Contemporary Problems,LL4AD,Rethinking International Law I: International Law and Contemporary Problems,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AD.htm,Postgraduate ,
AC470 Accounting in the Global Economy,AC470,Accounting in the Global Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC470.htm,Postgraduate ,
MC407 International Media and The Global South,MC407,International Media and The Global South,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC407.htm,Postgraduate ,
LL425E Competition Law,LL425, Competition Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL425E.htm,Postgraduate ,
DV448 Political Economy of Development I,DV448,Political Economy of Development I,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV448.htm,Postgraduate ,
MC404 Political Communication,MC404,Political Communication,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC404.htm,Postgraduate ,
AN402 The Anthropology of Religion,AN402,The Anthropology of Religion,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN402.htm,Postgraduate ,
ST433 Computational Methods in Finance and Insurance,ST433,Computational Methods in Finance and Insurance,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST433.htm,Postgraduate ,
MG498 Dissertation/Capstone Project,MG498,Dissertation/Capstone Project,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG498.htm,Postgraduate ,
LL4BE Principles of Financial Regulation,LL4BE,Principles of Financial Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BE.htm,Postgraduate ,
DV449 Political Economy of Development II,DV449,Political Economy of Development II,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV449.htm,Postgraduate ,
EU443E European Capitalism(s) and the Global Economy,EU443, European Capitalism(s) and the Global Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU443E.htm,Postgraduate ,
LL4K6 International Uniform Sales Law,LL4K6,International Uniform Sales Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4K6.htm,Postgraduate ,
EH480 Dissertation in Global History,EH480,Dissertation in Global History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH480.htm,Postgraduate ,
GI403 Gender and Media Representation,GI403,Gender and Media Representation,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI403.htm,Postgraduate ,
LL4H8 Employment Law,LL4H8,Employment Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4H8.htm,Postgraduate ,
"EU440 Greece and South Eastern Europe: Government, Economy and Foreign Policy",EU440,"Greece and South Eastern Europe: Government, Economy and Foreign Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU440.htm,Postgraduate ,
GV4C8 Game Theory for Political Science,GV4C8,Game Theory for Political Science,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4C8.htm,Postgraduate ,
SA4G8 The Third Sector,SA4G8,The Third Sector,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G8.htm,Postgraduate ,
LL4AT Regulation: Strategies and Enforcement,LL4AT,Regulation: Strategies and Enforcement,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AT.htm,Postgraduate ,
GV4G4 Comparative Conflict Analysis,GV4G4,Comparative Conflict Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4G4.htm,Postgraduate ,
EU474 Contested Ideas in EU Law and Government,EU474,Contested Ideas in EU Law and Government,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU474.htm,Postgraduate ,
SA4D6 Health Systems and Policies in Developing Countries,SA4D6,Health Systems and Policies in Developing Countries,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4D6.htm,Postgraduate ,
FM429 Asset Markets A,FM429,Asset Markets A,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM429.htm,Postgraduate ,
EC4B3 MPA Capstone Project,EC4B3,MPA Capstone Project,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC4B3.htm,Postgraduate ,
IR434 European Defence and Security,IR434,European Defence and Security,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR434.htm,Postgraduate ,
LL4BF International Financial Regulation,LL4BF,International Financial Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BF.htm,Postgraduate ,
HY498 Dissertation: LSE-PKU Double Degree in MSc International Affairs,HY498,Dissertation: LSE-PKU Double Degree in MSc International Affairs,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY498.htm,Postgraduate ,
MA421 Advanced Algorithms,MA421,Advanced Algorithms,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA421.htm,Postgraduate ,
ID433 Negotiation Analysis,ID433,Negotiation Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID433.htm,Postgraduate ,
LL4E7 Investment Treaty Law,LL4E7,Investment Treaty Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4E7.htm,Postgraduate ,
SO477 Urban Social Theory,SO477,Urban Social Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO477.htm,Postgraduate ,
GV478E Political Science and Public Policy,GV478, Political Science and Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV478E.htm,Postgraduate ,
"PH416 Philosophy, Morals and Politics",PH416,"Philosophy, Morals and Politics",http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH416.htm,Postgraduate ,
LL400E European Capital Markets Law,LL400, European Capital Markets Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL400E.htm,Postgraduate ,
DV413 Environmental Problems and Development Interventions,DV413,Environmental Problems and Development Interventions,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV413.htm,Postgraduate ,
EU460 European Society and Politics beyond the Nation State,EU460,European Society and Politics beyond the Nation State,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU460.htm,Postgraduate ,
ID493 Human Resource Policy and Practice,ID493,Human Resource Policy and Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID493.htm,Postgraduate ,
"EH408 International Migration, 1500-2000: from slavery to asylum",EH408,"International Migration, 1500-2000: from slavery to asylum",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH408.htm,Postgraduate ,
DV433 The Informal Economy and Development,DV433,The Informal Economy and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV433.htm,Postgraduate ,
LL431E Takeover regulation in the UK and US,LL431, Takeover regulation in the UK and US,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL431E.htm,Postgraduate ,
LL405E Dispute Resolution and Advanced Mediation,LL405, Dispute Resolution and Advanced Mediation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL405E.htm,Postgraduate ,
ID438 Globalisation and Human Resource Management,ID438,Globalisation and Human Resource Management,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID438.htm,Postgraduate ,
MG411 Firms and Markets,MG411,Firms and Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG411.htm,Postgraduate ,
SA4X6E Welfare Analysis and Measurement,SA4X6, Welfare Analysis and Measurement,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4X6E.htm,Postgraduate ,
"GI422 Sexuality, Gender and Globalisation",GI422,"Sexuality, Gender and Globalisation",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI422.htm,Postgraduate ,
FM458 Financial Economics Preparatory Course,FM458,Financial Economics Preparatory Course,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM458.htm,Postgraduate ,
"GI420 Globalisation, Gender and Development: Theorising Policy and Practice",GI420,"Globalisation, Gender and Development: Theorising Policy and Practice",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI420.htm,Postgraduate ,
SO451 Cities by Design,SO451,Cities by Design,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO451.htm,Postgraduate ,
GV4B7 The Liberal Idea of Freedom,GV4B7,The Liberal Idea of Freedom,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4B7.htm,Postgraduate ,
FM402 Financial Risk Analysis,FM402,Financial Risk Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM402.htm,Postgraduate ,
MG463 CEMS Global Management Practice,MG463,CEMS Global Management Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG463.htm,Postgraduate ,
LL4J1 Critical Perspectives on Legal Theory,LL4J1,Critical Perspectives on Legal Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4J1.htm,Postgraduate ,
ST422 Time Series,ST422,Time Series,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST422.htm,Postgraduate ,
DV452 Humanitarian Consultancy Project,DV452,Humanitarian Consultancy Project,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV452.htm,Postgraduate ,
"GV4E3 Democratisation, Conflict and Statebuilding",GV4E3,"Democratisation, Conflict and Statebuilding",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4E3.htm,Postgraduate ,
PH413 Philosophy of Economics,PH413,Philosophy of Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH413.htm,Postgraduate ,
GV4G9E Public Policy in Practice Workshop II,GV4G9, Public Policy in Practice Workshop II,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4G9E.htm,Postgraduate ,
"AC491 Financial Accounting, Reporting and Disclosure",AC491,"Financial Accounting, Reporting and Disclosure",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC491.htm,Postgraduate ,
LL4E6 International Dispute Resolution: Courts and Tribunals,LL4E6,International Dispute Resolution: Courts and Tribunals,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4E6.htm,Postgraduate ,
MG407E Goals and Motivation for Individuals and Teams,MG407, Goals and Motivation for Individuals and Teams,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG407E.htm,Postgraduate ,
LL4AU Regulation: Legal and Political Aspects,LL4AU,Regulation: Legal and Political Aspects,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AU.htm,Postgraduate ,
AN459 Anthropology and Media,AN459,Anthropology and Media,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN459.htm,Postgraduate ,
FM472 International Finance,FM472,International Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM472.htm,Postgraduate ,
GV4V8 MPA Policy Paper,GV4V8,MPA Policy Paper,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4V8.htm,Postgraduate ,
FM442 Quantitative Methods in Finance and Risk Analysis,FM442,Quantitative Methods in Finance and Risk Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM442.htm,Postgraduate ,
EH428 History of Economics: Making Political Economy into a Social Science,EH428,History of Economics: Making Political Economy into a Social Science,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH428.htm,Postgraduate ,
IS480 Information Technology and Service Innovation,IS480,Information Technology and Service Innovation,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS480.htm,Postgraduate ,
"GY445 Urban Theory, Policy and Practice in the Global South",GY445,"Urban Theory, Policy and Practice in the Global South",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY445.htm,Postgraduate ,
AN497 Dissertation: Religion in the Contemporary World,AN497,Dissertation: Religion in the Contemporary World,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN497.htm,Postgraduate ,
MA410 Information Communication and Cryptography,MA410,Information Communication and Cryptography,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA410.htm,Postgraduate ,
EU475 Muslims in Europe,EU475,Muslims in Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU475.htm,Postgraduate ,
GV4B4 MPA Dissertation,GV4B4,MPA Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4B4.htm,Postgraduate ,
MG418 Open Innovation,MG418,Open Innovation,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG418.htm,Postgraduate ,
MN416 The Analysis of Strategy B,MN416,The Analysis of Strategy B,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN416.htm,Postgraduate ,
LL4A9 Law in War,LL4A9,Law in War,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4A9.htm,Postgraduate ,
IR433 The International Politics of EU Enlargement,IR433,The International Politics of EU Enlargement,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR433.htm,Postgraduate ,
